rating,average_age
8.8,62.5
8.8,64.5
8.8,65.0
8.8,65.5
8.8,66.33333333333326
8.8,70.0
8.8,72.0
8.8,72.0
8.8,81.66666666666674
8.8,86.0
8.7,17.75
8.7,19.0
8.7,20.5
8.7,23.75
8.7,25.0
8.7,25.0
8.7,25.666666666666742
8.7,27.0
8.7,27.0
8.7,27.25
8.7,27.5
8.7,27.75
8.7,28.0
8.7,28.0
8.7,28.5
8.7,28.75
8.7,29.0
8.7,29.0
8.7,29.0
8.7,29.5
8.7,29.5
8.7,29.799999999999955
8.7,30.0
8.7,30.333333333333258
8.7,30.333333333333258
8.7,30.5
8.7,30.5
8.7,31.0
8.7,31.0
8.7,31.0
8.7,31.42857142857133
8.7,31.5
8.7,31.5
8.7,31.666666666666742
8.7,32.0
8.7,32.0
8.7,32.25
8.7,32.25
8.7,32.5
8.7,32.66666666666674
8.7,33.200000000000045
8.7,33.5
8.7,33.5
8.7,33.5
8.7,33.5
8.7,33.5
8.7,34.0
8.7,34.0
8.7,34.0
8.7,34.0
8.7,34.0
8.7,34.25
8.7,34.33333333333326
8.7,34.40000000000009
8.7,34.5
8.7,34.5
8.7,34.66666666666674
8.7,34.66666666666674
8.7,34.75
8.7,34.799999999999955
8.7,35.0
8.7,35.0
8.7,35.25
8.7,35.25
8.7,35.5
8.7,35.5
8.7,35.66666666666674
8.7,35.66666666666674
8.7,36.0
8.7,36.0
8.7,36.0
8.7,36.5
8.7,36.5
8.7,36.5
8.7,36.5
8.7,36.75
8.7,37.0
8.7,37.0
8.7,37.33333333333326
8.7,37.5
8.7,37.5
8.7,38.0
8.7,38.16666666666674
8.7,38.25
8.7,38.33333333333326
8.7,38.33333333333326
8.7,38.33333333333326
8.7,38.33333333333326
8.7,39.0
8.7,39.25
8.7,39.5
8.7,39.5
8.7,40.0
8.7,40.0
8.7,40.0
8.7,40.25
8.7,40.5
8.7,40.66666666666674
8.7,41.0
8.7,41.0
8.7,41.25
8.7,41.40000000000009
8.7,41.5
8.7,41.5
8.7,41.5
8.7,41.5
8.7,41.5
8.7,43.0
8.7,43.0
8.7,43.0
8.7,43.25
8.7,43.5
8.7,44.0
8.7,44.0
8.7,44.25
8.7,44.28571428571422
8.7,44.66666666666674
8.7,44.66666666666674
8.7,45.0
8.7,45.0
8.7,46.33333333333326
8.7,46.5
8.7,46.5
8.7,46.66666666666674
8.7,46.75
8.7,46.75
8.7,47.0
8.7,47.0
8.7,47.5
8.7,47.5
8.7,47.5
8.7,48.0
8.7,48.5
8.7,49.0
8.7,49.5
8.7,49.5
8.7,49.66666666666674
8.7,50.5
8.7,50.5
8.7,51.33333333333326
8.7,51.5
8.7,51.5
8.7,51.66666666666674
8.7,52.5
8.7,53.33333333333326
8.7,54.0
8.7,54.0
8.7,54.66666666666674
8.7,55.0
8.7,55.0
8.7,55.5
8.7,55.5
8.7,56.33333333333326
8.7,56.66666666666674
8.7,57.5
8.7,60.5
8.7,61.0
8.7,63.0
8.7,68.0
8.7,77.5
8.7,79.0
8.7,80.5
8.7,86.25
8.6,10.666666666666742
8.6,15.0
8.6,18.200000000000045
8.6,19.0
8.6,19.0
8.6,19.5
8.6,20.0
8.6,21.0
8.6,21.0
8.6,21.0
8.6,22.85714285714289
8.6,23.5
8.6,23.5
8.6,24.0
8.6,24.0
8.6,24.0
8.6,24.5
8.6,24.5
8.6,24.666666666666742
8.6,25.0
8.6,25.25
8.6,25.25
8.6,25.333333333333258
8.6,25.5
8.6,25.5
8.6,25.666666666666742
8.6,26.0
8.6,26.0
8.6,26.0
8.6,26.0
8.6,26.5
8.6,26.5
8.6,26.666666666666742
8.6,27.200000000000045
8.6,27.5
8.6,27.5
8.6,27.666666666666742
8.6,27.75
8.6,28.5
8.6,28.5
8.6,29.0
8.6,29.0
8.6,29.0
8.6,29.0
8.6,29.5
8.6,29.666666666666742
8.6,29.666666666666742
8.6,29.75
8.6,30.0
8.6,30.5
8.6,30.5
8.6,30.666666666666742
8.6,30.666666666666742
8.6,31.0
8.6,31.333333333333258
8.6,31.333333333333258
8.6,31.333333333333258
8.6,31.75
8.6,32.0
8.6,32.0
8.6,32.0
8.6,32.0
8.6,32.25
8.6,32.25
