,genres,avg_rating,avg_seasons
156,"Crime,Family",6.23354430379749,2.0
157,"Adventure,History,Romance",6.278172588832487,2.0
158,"Animation,Fantasy,Thriller",6.3,2.0
159,"Comedy,Sport,Talk-Show",6.52786434463799,2.0
160,"Animation,Horror,Short",6.560629921259856,2.0
161,"Game-Show,Sport",6.578542510121432,2.0
162,"Biography,Family",6.599999999999997,2.0
163,"Comedy,News,Short",6.654545454545454,2.0
164,"Comedy,Romance,Sport",6.6836466165414,2.0
165,"Action,Game-Show,Sport",6.694132653061243,2.0
166,"Drama,Reality-TV,Sport",6.700000000000002,2.0
167,"Horror,Mystery,Short",6.700000000000002,2.0
168,"History,Horror,Sci-Fi",6.800000000000004,2.0
169,"Comedy,Game-Show,Sport",6.856320224719037,2.0
170,"Comedy,Documentary,Drama",6.8948529411764525,2.0
171,"Animation,Comedy,News",6.927157360406077,2.0
172,"Comedy,Horror,Mystery",6.939272727272602,2.0
173,"Documentary,History,Sci-Fi",6.954828660436103,2.0
174,"Comedy,Fantasy,Mystery",6.99,2.0
175,"Crime,Drama,Game-Show",7.055555555555555,2.0
176,"Family,Thriller",7.099999999999998,2.0
177,"Short,Talk-Show",7.123798076923006,2.0
178,"Animation,Talk-Show",7.160301507537676,2.0
179,"History,Music,Talk-Show",7.199999999999996,2.0
180,"Adventure,Drama,Horror",7.217460317460314,2.0
181,"Drama,Romance,Western",7.232160804020127,2.0
182,"Family,History,Horror",7.299999999999999,2.0
183,"Comedy,Reality-TV,Sci-Fi",7.304000000000002,2.0
184,"Family,Game-Show,Talk-Show",7.374747474747492,2.0
185,"Documentary,History,Short",7.437086092715212,2.0
186,"Sci-Fi,Short,Talk-Show",7.488888888888877,2.0
187,"Biography,Documentary,Horror",7.5,2.0
188,"Documentary,Reality-TV,Sport",7.56145038167939,2.0
189,"Family,Fantasy,Horror",7.595402298850573,2.0
190,"Action,News,Talk-Show",7.599999999999996,2.0
191,"Drama,Sci-Fi,Talk-Show",7.599999999999996,2.0
192,"Adventure,Romance,Western",7.599999999999997,2.0
193,"Adventure,Comedy,Western",7.600000000000005,2.0
194,"Drama,Family,Thriller",7.700000000000001,2.0
195,"Family,Reality-TV,Sport",7.771491228070205,2.0
196,"Biography,Documentary,War",7.799999999999998,2.0
197,"Action,Family,Sport",7.8000000000000025,2.0
198,"Documentary,Mystery,Reality-TV",7.850886075949367,2.0
199,"Adventure,Comedy,Documentary",7.875999999999985,2.0
200,"Action,Mystery,Romance",7.899999999999998,2.0
201,"Comedy,Mystery,Reality-TV",7.8999999999999995,2.0
202,"Drama,Game-Show,Mystery",7.900000000000003,2.0
203,"Adult,Adventure,Animation",8.0,2.0
204,"Crime,Western",8.0,2.0
205,"Comedy,Documentary,News",8.025965665236143,2.0
206,"Crime,Family,Music",8.1,2.0
207,"Documentary,Sci-Fi,Short",8.199999999999996,2.0
208,"History,Horror,Mystery",8.199999999999998,2.0
209,"Game-Show,Horror,Reality-TV",8.200000000000001,2.0
210,"Action,Comedy,Musical",8.299999999999999,2.0
211,"Comedy,Drama,War",8.336531365313693,2.0
212,"Documentary,History,News",8.397499999999997,2.0
213,"Family,History,Reality-TV",8.5,2.0
214,"Family,Mystery,Sport",8.5,2.0
215,"Adventure,Crime,News",8.6,2.0
216,"Crime,Talk-Show",8.600000000000009,2.0
217,"Fantasy,Game-Show,Reality-TV",8.799999999999999,2.0
218,"Comedy,Fantasy,Music",8.914814814814857,2.0
219,"Comedy,Crime,Documentary",8.963934426229498,2.0
220,"Family,Horror,Mystery",9.0,2.0
221,"Family,News,Reality-TV",9.0,2.0
222,"Game-Show,History,Music",9.0,2.0
223,"Comedy,Fantasy,Game-Show",9.199999999999994,2.0
224,"Action,History,Thriller",9.2,2.0
225,"Adventure,Music,Mystery",9.200000000000001,2.0
226,"Action,Adult,Crime",9.599999999999998,2.0
227,"Comedy,Drama,News",1.5999999999999999,1.0
228,"Romance,War",3.1000000000000005,1.0
229,"Biography,History,Romance",3.399999999999999,1.0
230,"Crime,Documentary,Horror",3.8,1.0
231,"Family,Music,Reality-TV",3.902867383512564,1.0
232,"Action,Romance,War",4.200000000000001,1.0
233,"News,Reality-TV,Talk-Show",4.283088235294118,1.0
234,"Action,Family,Game-Show",4.299999999999999,1.0
235,"Game-Show,Sport,Talk-Show",4.3999999999999995,1.0
236,"Music,News,Talk-Show",4.425253991291804,1.0
237,"Documentary,Game-Show,Reality-TV",4.4485981308411215,1.0
238,"Crime,Reality-TV,Talk-Show",4.5,1.0
239,"Comedy,Horror,Talk-Show",4.685552407931955,1.0
240,"Family,Music,Musical",4.700000000000001,1.0
241,"Drama,Reality-TV",4.721566523605302,1.0
242,"Biography,Romance",4.8,1.0
243,"Biography,Sport",4.8,1.0
244,"Game-Show,Music,Musical",4.8,1.0
245,"Drama,Family,Reality-TV",4.830619469026537,1.0
246,"Action,Horror,Reality-TV",4.9,1.0
247,"Animation,Crime,Mystery",5.1,1.0
248,"Documentary,Reality-TV,Talk-Show",5.1088888888888935,1.0
249,"Action,Reality-TV",5.353662420382113,1.0
250,"Family,Game-Show,Music",5.450552618933207,1.0
251,"Crime,Fantasy,Romance",5.5,1.0
252,"Adventure,Fantasy,Romance",5.544894651539722,1.0
253,"Adventure,Mystery,Thriller",5.599999999999998,1.0
254,"Action,Adult",5.7,1.0
255,"Documentary,Drama,Horror",5.7,1.0
256,"Family,Sport,Talk-Show",5.700000000000001,1.0
257,"Family,Game-Show,History",5.700000000000002,1.0
258,"News,Reality-TV",5.71455160744498,1.0
259,"Comedy,Documentary,Talk-Show",5.7170925110134,1.0
260,"Comedy,Reality-TV,Romance",5.718674698795164,1.0
261,"Comedy,Drama,Reality-TV",5.792290748898662,1.0
262,"Comedy,Crime,Sci-Fi",5.799999999999998,1.0
263,"Fantasy,Musical,Sci-Fi",5.8,1.0
264,"Animation,War",5.828571428571418,1.0
265,"Fantasy,Horror,Sci-Fi",5.841176470588232,1.0
266,"Music,Reality-TV,Talk-Show",5.882694475760802,1.0
267,"Crime,Drama,Reality-TV",5.897175572519195,1.0
268,"Action,Horror,Mystery",5.8999999999999995,1.0
269,"Animation,Fantasy,Short",5.8999999999999995,1.0
270,"Family,Fantasy,Reality-TV",5.8999999999999995,1.0
271,"Action,Game-Show,Sci-Fi",5.9,1.0
272,"Adult,Reality-TV,Talk-Show",5.900000000000001,1.0
273,"Biography,History,News",5.900000000000001,1.0
274,"Adventure,Animation,Short",5.92727272727273,1.0
275,"Action,Animation,Western",6.0,1.0
276,"Adventure,Horror,Mystery",6.0,1.0
277,"Drama,Reality-TV,Romance",6.008748114630509,1.0
278,"Action,Drama,Reality-TV",6.037614678899098,1.0
279,"Adult,Reality-TV",6.1000000000000005,1.0
280,"Animation,Mystery,Romance",6.1000000000000005,1.0
281,"Drama,Music,Mystery",6.100000000000008,1.0
282,"Adventure,Game-Show",6.101223241590191,1.0
283,"Biography,Talk-Show",6.197956403269789,1.0
284,"Comedy,Short,Thriller",6.2,1.0
285,"Crime,Drama,Musical",6.200000000000001,1.0
286,"Comedy,Music,Reality-TV",6.272693726937294,1.0
287,"History,Talk-Show",6.279738562091512,1.0
288,"Animation,Crime,Fantasy",6.299999999999998,1.0
289,"Animation,Romance,Sci-Fi",6.300000000000001,1.0
290,"Animation,Western",6.300000000000001,1.0
291,"Action,Comedy,Reality-TV",6.322077922077934,1.0
292,"Comedy,Documentary,Family",6.352941176470597,1.0
293,"Documentary,Game-Show",6.3538461538461535,1.0
294,"Documentary,History,Reality-TV",6.389534883720926,1.0
295,"Biography,Fantasy",6.399999999999988,1.0
296,"Biography,Horror,Mystery",6.4,1.0
297,"Biography,Sci-Fi",6.4,1.0
298,"Action,Documentary",6.4132743362831865,1.0
299,"Crime,War",6.429411764705883,1.0
300,"Sci-Fi,Talk-Show",6.489423076923076,1.0
301,"Adventure,Animation,Sport",6.5,1.0
302,"Animation,Fantasy,History",6.5,1.0
303,"Crime,History,Thriller",6.5,1.0
304,"Horror,Short",6.512912087912041,1.0
305,"Drama,Family,History",6.544444444444446,1.0
306,"Adventure,Game-Show,Reality-TV",6.554177970699829,1.0
307,"Adventure,Crime,Family",6.555254237288124,1.0
308,"Adventure,Animation,Mystery",6.599999999999999,1.0
309,"Family,Fantasy,Game-Show",6.599999999999999,1.0
310,"Adventure,Animation,Documentary",6.6,1.0
311,"Horror,Short,Thriller",6.645283018867922,1.0
312,"Short,Thriller",6.646666666666662,1.0
313,"Musical,Reality-TV",6.661538461538456,1.0
314,"Drama,Family,Western",6.664705882352966,1.0
315,"Comedy,Family,Sport",6.66584821428575,1.0
316,"News,Sport,Talk-Show",6.666335392604808,1.0
317,"Action,Family,Fantasy",6.696551724137929,1.0
318,"Adventure,Family,Sport",6.700000000000001,1.0
319,"Comedy,History,Musical",6.700000000000001,1.0
320,"Crime,Fantasy",6.700000000000002,1.0
321,"Biography,Documentary,Talk-Show",6.715584415584437,1.0
322,"Fantasy,Sci-Fi,Thriller",6.726666666666669,1.0
323,"Biography,Comedy,Drama",6.795879120879128,1.0
324,"Animation,Sci-Fi,Sport",6.799999999999998,1.0
325,"Animation,Drama,Short",6.799999999999999,1.0
326,"Comedy,Game-Show,Romance",6.799999999999999,1.0
327,"Action,Sport,Talk-Show",6.800000000000003,1.0
328,"Comedy,Horror,Reality-TV",6.813636363636386,1.0
329,"Drama,Music,Musical",6.835593220338975,1.0
330,"Documentary,Music,Reality-TV",6.865263157894743,1.0
331,"Adventure,Comedy,War",6.880000000000006,1.0
332,"Adventure,Crime,Mystery",6.888659793814425,1.0
333,"Documentary,Talk-Show",6.8894776399848725,1.0
334,"Family,History",6.899999999999996,1.0
335,"Adult,Animation,Fantasy",6.8999999999999995,1.0
336,"Family,Horror,Sci-Fi",6.8999999999999995,1.0
337,"History,Horror",6.8999999999999995,1.0
338,"Adventure,Comedy,Talk-Show",6.9,1.0
339,"Fantasy,Game-Show,Horror",6.900000000000001,1.0
340,"Documentary,History,Sport",6.929100529100529,1.0
341,"Game-Show,Music,Talk-Show",6.945161290322598,1.0
342,"Family,Music,Romance",6.949999999999999,1.0
343,"Crime,Fantasy,Horror",6.960975609756091,1.0
344,"Comedy,Fantasy,Sci-Fi",6.977534562211925,1.0
345,"Action,Adventure,Game-Show",6.982456140350883,1.0
346,"Musical,Talk-Show",6.9861111111111,1.0
347,"Animation,Game-Show",6.994936708860747,1.0
348,"Action,Musical",7.0,1.0
349,"Adult,Adventure,Comedy",7.0,1.0
350,"Adventure,Fantasy,Reality-TV",7.0,1.0
351,"Adventure,Horror,Sci-Fi",7.0,1.0
352,"Adventure,Mystery,Sci-Fi",7.0,1.0
353,"Animation,Fantasy,Music",7.0,1.0
354,"Crime,News,Thriller",7.0,1.0
355,"Drama,Musical,Sport",7.0,1.0
356,"Action,Adventure,Thriller",7.002325581395345,1.0
357,"Documentary,Music,Talk-Show",7.028888888888888,1.0
358,"Comedy,Reality-TV,Talk-Show",7.046564195298387,1.0
359,"Action,Comedy,Sport",7.0539682539682795,1.0
360,"Drama,Horror,Romance",7.06746031746032,1.0
361,"Animation,Comedy,Reality-TV",7.085714285714284,1.0
362,"Action,Game-Show,Reality-TV",7.0900481540931395,1.0
363,"Action,Music",7.099999999999999,1.0
364,"Action,Sci-Fi,Western",7.1,1.0
365,"Adult,Comedy,Sci-Fi",7.1,1.0
366,"Adventure,Romance,Thriller",7.1,1.0
367,"Comedy,News,Sci-Fi",7.1,1.0
368,"Comedy,Crime,Game-Show",7.1000000000000005,1.0
369,"Adventure,Fantasy,War",7.100000000000007,1.0
370,"Documentary,News,Reality-TV",7.112162162162147,1.0
371,"Action,Documentary,Reality-TV",7.121428571428574,1.0
372,"Comedy,Family,Horror",7.1473988439306275,1.0
373,"Crime,Reality-TV,Thriller",7.148275862068979,1.0
374,"Action,Crime,Documentary",7.168085106382979,1.0
