,name,born,primary_title,premiered,runtime_minutes
147,Anne Jackson,1925,Out on a Limb,1987,235
148,Anne Jackson,1925,Baby M,1988,200
149,Anne Kersten,1895,Die Fliegen,1966,155
150,Anne Meara,1929,The Diary of the Hurdy-Gurdy Man,1999,129
151,Anne Reid,1935,The Wingless Bird,1997,180
152,Anne Reid,1935,Five Days,2007,300
153,Anne Reid,1935,Our Zoo,2014,312
154,Anne Shropshire,1917,"Adventures of Huckleberry Finn, Part I",1986,240
155,Anne Stallybrass,1938,My Fragile Heart,2000,136
156,Anne-Marie Ducharme,1903,"Ti-mine, Bernie pis la gang...",1977,124
157,Anne-Marie Heijligers,1931,Tijd van leven,1996,500
158,Annelene Hischer,1930,Der zerbrochne Krug,1991,126
159,Anneliese Römer,1922,Heldenplatz,1989,195
160,Annemarie Steinsieck,1889,Der Tod im Apfelbaum,1960,135
161,Annemone Haase,1930,Nikolaikirche,1995,138
162,Annesley Dias,1927,Re Daniel Dawal Migel 2,2000,150
163,Annette Badland,1950,The Winter's Tale Live from Shakespeare's Globe,2018,180
164,Annette Crosbie,1934,Wyrd Sisters,1997,140
165,Annette Crosbie,1934,Oliver Twist,1999,386
166,Annette Crosbie,1934,Anchor Me,2000,145
167,Annette Crosbie,1934,Bodily Harm,2002,175
168,Annette Poivre,1917,La quinta donna,1982,180
169,Annick Alane,1925,Crimes en sourdine,2011,121
170,Annie Cordy,1928,Crimes en sourdine,2011,121
171,Annie Girardot,1931,Colpo di coda,1993,160
172,Annie Girardot,1931,The Piano Teacher,2001,131
173,Annie Girardot,1931,Une soupe aux herbes sauvages,1997,176
174,Anny Schlemm,1929,Der fliegende Holländer,1991,134
175,Anouk Aimée,1932,Solomon,1997,180
176,Anouk Aimée,1932,Napoléon,2002,380
177,Antje Hagen,1938,Der Seerosenteich,2002,180
178,Antonina Bogdanova,1904,Vechno zhivye,1976,143
179,Aparna Sen,1945,Chotushkone,2014,148
180,Aranmulla Ponnamma,1914,Kodiyettam,1977,137
181,Aranmulla Ponnamma,1914,Venalil Oru Mazha,1979,136
182,Aranmulla Ponnamma,1914,Kalippattam,1993,130
183,Aranmulla Ponnamma,1914,Oppol,1980,143
184,Ariane Ascaride,1954,Don't Tell Me the Boy Was Mad,2015,134
185,Arlette Thomas,1927,Cabaret,2007,200
186,Aruna Irani,1946,Khatta Meetha,2010,157
187,Aruna Irani,1946,Mitwaa,2015,130
188,Aruna Irani,1946,Bol Baby Bol,2014,135
189,Ashalata Wabgaonkar,1941,Ghar Hota Menacha,2018,152
190,Asunción Balaguer,1925,El mundo de Juan Lobón,1989,360
191,Asunción Balaguer,1925,La bella Otero,2008,180
192,Athene Seyler,1889,Satan Never Sleeps,1962,125
193,Aura Abranches,1896,O Primo Basílio,1959,138
194,Aurora Redondo,1900,Celia,1993,360
195,Aurore Clément,1945,Double enquête,2010,177
196,Ava Gardner,1922,A.D.,1985,600
197,Ava Gardner,1922,Part 1,1985,180
198,Ava Gardner,1922,Part 5,1985,180
199,Avril Elgar,1932,The Glass Virgin,1995,180
200,Avril Ellis,1924,Dickens,2002,164
201,Axelle Axell,1937,Heaven on Earth,2015,134
202,Aysel Gürel,1929,Sarkici,2001,125
203,Aysen Gruda,1944,Episode #1.3,2015,130
204,Aysen Gruda,1944,Mahrumlar,2016,121
205,Ayten Uncuoglu,1946,The Visitor,2015,127
206,Barbara Bouchet,1943,La provinciale,2006,200
207,Barbara Brylska,1941,Casus belli,2003,125
208,Barbara Bryne,1929,Romeo & Juliet,1993,162
209,Barbara Crampton,1958,Deathcember,2019,145
210,Barbara Hicks,1924,Oranges Are Not the Only Fruit,1989,165
211,Barbara Knox,1933,Coronation Street: Tram Crash,2010,177
212,Barbara Lott,1920,Honeymoon,1985,175
213,Barbara Ludwizanka,1908,Chlopi,1972,653
214,Barbara Marten,1952,Hamlet,2015,184
215,Barbara Schöne,1947,The Prince and the Pauper,2010,150
216,Barbara Stanwyck,1907,The Thorn Birds,1983,460
217,Barbro 'Babben' Larsson,1956,Den inre cirkeln,2019,360
218,Barbro Hiort af Ornäs,1921,Skuggornas hus,1996,174
219,Barbro Hiort af Ornäs,1921,False Accusation,2001,172
220,Barbro Hiort af Ornäs,1921,Panik i butiken,1984,150
221,Basundhara Bhusal,1951,Shatru Gate,2018,138
222,Beata Asimakopoulou,1932,Hapi... End,2002,137
223,Beatrice Bonnesen,1906,Jul på Tyllefyllebølleby Banegård,1973,133
224,Beatrice Straight,1914,The Dain Curse,1978,360
225,Beatrix Lehmann,1903,Love for Lydia,1977,780
226,Beatrix Lehmann,1903,Crime and Punishment,1979,225
227,Beena Banerjee,1943,Ishq Hai Tumse,2004,148
228,Beena Banerjee,1943,Khuda Kasam,2010,160
229,Beena Banerjee,1943,Husn: Love and Betrayal,2006,130
230,Belinda Lang,1953,BBC Proms: Oklahoma!,2017,170
231,Bella Flores,1929,Imahe nasyon,2006,130
232,Bernadette Lafont,1938,La très excellente et divertissante histoire de François Rabelais,2010,200
233,Bernadette Lafont,1938,La femme du boulanger,2010,135
234,Berta Hall,1909,Raskens,1976,467
235,Berta Hall,1909,Änkeman Jarl,1971,154
236,Berta Hall,1909,Drömmare på besök,1978,150
237,Berta Hall,1909,Bröd för dagen,1973,240
238,Berta Hall,1909,Snapphanepojken,1972,240
239,Berta Hall,1909,Galenpannan,1974,165
240,Berta Hall,1909,Sonja,1970,141
241,Berthe Jalabert,1858,Verdun: Looking at History,1928,151
242,Berthe Qvistgaard,1910,Anne og Paul,1975,125
243,Beryl Cooke,1906,The Real Eddy English,1989,240
244,Beryl Reid,1919,The Beiderbecke Tapes,1987,151
245,Bethany James,1947,MILFTugs.com 3,2013,161
246,Bethel Leslie,1929,In Cold Blood,1996,240
247,Betsy Blair,1923,Betrayed,1988,127
248,Betsy Craig,1952,In Earnest,2014,325
249,Betsy Palmer,1926,Windmills of the Gods,1988,187
250,Bette Davis,1908,The Dark Secret of Harvest Home,1978,300
251,Bette Davis,1908,Family Reunion,1981,200
252,Bette Davis,1908,Little Gloria... Happy at Last,1982,180
253,Bettine Milne,1913,Il furto della Gioconda,1978,270
254,Betty Marsden,1919,The Memoirs of Sherlock Holmes,1994,306
255,Betty Marsden,1919,Winter Sunlight,1984,280
256,Betty Tuvén,1928,Bobby Fischer bor i Pasadena,1990,160
257,Betty White,1922,Gaia Symphony II,1999,130
258,Bettye LaVette,1946,Don't Forget the Motorcity,2008,180
259,Beverly Maeda,1948,Tap: The Last Show,2017,133
260,Beyhan Saran,1934,Yuvadan bir kus uçtu,2003,715
261,Bhanumathi Ramakrishna,1925,Bamma Maata Bangaru Baata,1990,153
262,Bhanumathi Ramakrishna,1925,Peddarikam,1992,134
263,Bhanumathi Ramakrishna,1925,Pelli Kanuka,1998,142
264,Bhanumathi Ramakrishna,1925,Samrat Ashok,1992,160
265,Bhanumathi Ramakrishna,1925,Muddula Manavaraalu,1986,137
266,Bhanumathi Ramakrishna,1925,Mandaladeeshudu,1987,135
267,Bharati Devi,1922,Shubhodristi,2005,137
268,Bibi Andersson,1935,Arn: The Kingdom at the End of the Road,2008,128
269,Bibi Andersson,1935,Bror & syster,2007,173
270,Bibi Andersson,1935,Arn,2010,264
271,Bibiane Zeller,1928,Meine liebe Familie,2008,180
272,Big Mama Thornton,1926,Gunsmoke Blues,2004,140
273,Bigi Fischer,1950,Der nackte Wahnsinn,2015,136
274,Billie Whitelaw,1932,Shooting the Past,1999,182
275,Billie Whitelaw,1932,The Crimean War,1997,150
276,Billie Whitelaw,1932,A Dinner of Herbs,2000,286
277,Birgit Eggers,1913,Drömmare på besök,1978,150
278,Birgitta Valberg,1916,En handelsresandes död,1979,126
279,Birgitta Valberg,1916,Dubbelsvindlarna,1982,180
